Dataset,Creation date,Creation location,Creation methodology,Creation source,Aggregated creator contributor,Maintenance frequency,Maintenance location,Maintenance methodology,Modification date,Aggregated Maintenance contributor,Usage access procedure,Usage license,Usage requirements,Usage reuse,Usage concepts covered,Usage dataset description,Usage dataset entities,Usage examples,Usage dataset quality,Usage RDF serialization,Usage dataset triples,Usage End availability,Usage End validity,Usage start availability,Usage access address,Usage location,Usage dataset webpage,Usage audience,Usage Dataset publisher,Usage rights
http://linked.opendata.cz/resource/dataset/vavai/evaluation/2010/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/evaluation/2011/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/evaluation/2012/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/evaluation/2013/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/funding-providers/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/organizations/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/programmes/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/projects/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/research-plans/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/results/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/vavai/tenders/distribution,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1
http://linked.opendata.cz/resource/dataset/wwwinfo.mfcr.cz/vykazy-zisku-a-ztraty,0,0,0,0,"0,6",0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
http://linked.opendata.cz/resource/external-dataset/geovoc-nuts,0,0,0,1,"0,2",0,0,0,1,"0,2",1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,1
#paf,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
#paf67_0rdf,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1
#paf68_0,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
#pro,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1
#pro-ensembl-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-ensemblbacteria-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-hgnc-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-mgi-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-ncbigene-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-reactome-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-reactome-exactMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-rgd-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-sgd-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-uniprotkb-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-uniprotkb-exactMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-uniprotkbvar-closeMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
#pro-uniprotkbvar-exactMatch-linkset,1,0,0,0,"0,2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1
